Kateg¢riaazonos°t¢;Kateg¢ria;ID;MegnevezÇs;MegnevezÇs a nyugt†n;Cikksz†m;Vonalk¢d;Elad†si †r, Ft;BeszerzÇsi †r, Ft;MÇrÇsi egysÇg ÇrtÇkes°tÇskor;MÇrtÇkegysÇg felhaszn†l†skor;Felhaszn†lhat¢ menyisÇgi egysÇg (KiszerelÇs);Nett¢ tîmeg, g.;Brutt¢ tîmeg, g.;Kritikus mennyisÇg;Kiv†nt mennyisÇg;MegjegyzÇs
289881;D°sz°tÇs;6933723;AkrilfestÇk-039 Neon pink;;PNAK039;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933724;AkrilfestÇk-040 Neon orange;;PNAK040;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933725;AkrilfestÇk-041 Neon yellow;;PNAK041;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933726;AkrilfestÇk-042 Neon green;;PNAK042;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933727;AkrilfestÇk-043- Perfect purple;;PNAK043;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933728;AkrilfestÇk-044-Merlot;;PNAK044;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933729;AkrilfestÇk-045-Poison;;PNAK045;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933730;AkrilfestÇk-046-Dark Chocholate;;PNAK046;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933731;AkrilfestÇk-047-Aubergine;;PNAK047;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933732;AkrilfestÇk-048-Perfect white;;PNAK048;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289903;Irodaszer;6933735;Alkoholos filc;;;;0;400;db.;db.;1;0;0;0;0;
289930;Pedik˚r;6933762;Antifungal Pedi Gel 15ml;;;0;5135;3950;db.;db.;1;0;0;0;0;
289886;Eszkîzîk;6933770;µrnyÇkol¢ / ombre kîrîmd°sz°tã szivacs;;PNSE650;5,99906E+12;2587;1990;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6933771;µrnyÇkol¢ / ombre kîrîmd°sz°tã szivacs - p¢tfej (4db);;PNSE651;5,99906E+12;1287;990;csom.;db.;4;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933772;Aroma Cleaner - Candy 1000ml;;PNSA840;5,99906E+12;4095;3150;db.;ml;1000;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933773;Aroma Cleaner - Strawberry 1000ml;;PNSA822;5,99906E+12;4095;3150;db.;ml;1000;0;0;1;2;
289930;Pedik˚r;6933774;Aromatherapy Gel 250ml;;;;1677;1290;db.;ml;250;0;0;0;0;
289930;Pedik˚r;6933775;Aromatherapy Gel 500ml;;;;2327;1790;db.;ml;500;0;0;0;0;
289886;Eszkîzîk;6933776;Art&Corrector Pen;;PNED049;5,99906E+12;1287;990;db.;db.;0;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933777;Artifical Nail Remover 1000ml;;PNSA703;5,99955E+12;2405;1850;db.;ml;1000;0;0;1;2;
289918;Lemos¢k/leold¢k/fix†l¢k;6933778;Artifical Nail Remover 100ml;;PNSA702;5,99955E+12;780;600;db.;ml;100;0;0;0;0;
289881;D°sz°tÇs;6933779;Aurora por;;PNP0063;5,99906E+12;3237;2490;db.;db.;0;0;0;0;0;
289907;KellÇk;6933780;Babahajt˚;;;;1645;1265;db.;db.;1;0;0;0;0;
289886;Eszkîzîk;6933782;Basic Line Acryl #6;;PNEP030;5,99906E+12;2067;1590;db.;db.;0;0;0;0;0;
289903;Irodaszer;6933784;BÇlyegzãp†rna festÇk;;;;0;580;db.;db.;1;0;0;0;0;
289912;Kozmetikai ruh†zat;6933788;beîltîzã ruha (kozmetika);;;;0;2590;db.;db.;1;0;0;0;0;
289881;D°sz°tÇs;6933791;Black Chrome powder - Night;;PNP0076;5,99906E+12;1287;990;db.;db.;0;0;0;0;0;
289876;BlondMe;6933792;BlondMe Balzsam: BM Balzsam AllBlond;;2144618;;4790;3682;db.;ml;200;0;0;0;0;
289876;BlondMe;6933793;BlondMe Balzsam: BM Hidegszãke sp.balzsam;;2144003;;4790;3682;db.;ml;150;0;0;0;0;
289876;BlondMe;6933794;BlondMe Balzsam: BM Tiszt°t¢ balzsam;;2153601;;6490;4888;db.;ml;500;0;0;0;0;
289876;BlondMe;6933795;BlondMe Blush: BM Inst. Blushes AcÇlkÇk;;2142107;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933796;BlondMe Blush: BM Inst. Blushes Eper;;2142102;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933797;BlondMe Blush: BM Inst. Blushes Jade;;2142199;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933798;BlondMe Blush: BM Inst. Blushes JÇg;;2142195;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933799;BlondMe Blushwash: BM Blush wash Barack;;2302676;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933800;BlondMe Blushwash: BM Blush wash Eper;;2302681;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933801;BlondMe Blushwash: BM Blush wash EzÅst;;2302678;;6490;4698;db.;ml;250;0;0;0;0;
289876;BlondMe;6933802;BlondMe Blushwash: BM Blush wash Lila;;2302680;;6490;4698;db.;ml;250;0;0;0;0;
289877;BlondMe HajfestÇkek;6933803;BlondMe Elãh°v¢: BM PrÇmium elãh°v¢ 12%;;2140321;;5282;4063;db.;ml;1000;0;0;0;0;
289877;BlondMe HajfestÇkek;6933804;BlondMe Elãh°v¢: BM PrÇmium elãh°v¢ 2%;;2140315;;5282;4063;db.;ml;1000;0;0;0;0;
289877;BlondMe HajfestÇkek;6933805;BlondMe Elãh°v¢: BM PrÇmium elãh°v¢ 6%;;2140316;;5282;4063;db.;ml;1000;0;0;0;0;
